Owner,Number of Stocks,Total Cost,Unrealized P&L,Unrealized %,Realized P&L,cashbalance start,Cash Balance,Net Asset Value,Max NAV,Min NAV,Max Drawdown (%),Relative Drawdown,Calmar Ratio,Previous Day Max DD (%),Number of Wins,Number of Sells,Win Rate,Return rate,Saved At,Daily Ticks Time
myteam,64,479852.75,-1974.75,-0.4,-9221.19,10000000.0,9510926.06,9988804.06,10000000.0,9964124.02,-0.36,-0.003587598107121699,-0.3120735011368383,-0.36,1,163,0.6,-0.1119594302,2025-11-08 23:39:26,2025-09-18 00:00:00
myteam,85,567400.58,-3167.58,-0.6,-18480.95,10000000.0,9414118.48,9978351.48,10000000.0,9960581.51,-0.39,-0.0039418492896826935,-0.5491971197806902,-0.39,6,338,1.8,-0.2164852277,2025-11-08 23:46:57,2025-09-19 00:00:00
