Timestamp | Error Message
2025-11-08 23:34:10.902197 | [ERROR] Order for OSP (Vol: 100, Price: 18.8, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:10.945450 | [ERROR] Order for CRC (Vol: 100, Price: 23.3, Side: Sell) skipped due to Cannot sell CRC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:10.998181 | [ERROR] Order for GPSC (Vol: 100, Price: 39.25, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:13.119707 | [ERROR] Order for VGI (Vol: 100, Price: 1.92, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:13.889667 | [ERROR] Order for BANPU (Vol: 100, Price: 4.98, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:14.330966 | [ERROR] Order for SCC (Vol: 100, Price: 228.0, Side: Sell) skipped due to Cannot sell SCC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:17.402025 | [ERROR] Order for OR (Vol: 100, Price: 14.0, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:19.269329 | [ERROR] Order for PTTEP (Vol: 100, Price: 115.0, Side: Sell) skipped due to Cannot sell PTTEP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:20.431991 | [ERROR] Order for MTC (Vol: 100, Price: 42.75, Side: Sell) skipped due to Cannot sell MTC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:21.893168 | [ERROR] Order for BANPU (Vol: 100, Price: 4.96, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:21.912718 | [ERROR] Order for GULF (Vol: 100, Price: 45.75, Side: Sell) skipped due to Cannot sell GULF as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:22.633540 | [ERROR] Order for TCAP (Vol: 100, Price: 50.75, Side: Sell) skipped due to Cannot sell TCAP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:23.806799 | [ERROR] Order for AOT (Vol: 100, Price: 39.5, Side: Sell) skipped due to Cannot sell AOT as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:23.887656 | [ERROR] Order for VGI (Vol: 100, Price: 1.93, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:25.015166 | [ERROR] Order for COM7 (Vol: 100, Price: 25.25, Side: Sell) skipped due to Cannot sell COM7 as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:26.080866 | [ERROR] Order for BH (Vol: 100, Price: 183.0, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:26.084177 | [ERROR] Order for IVL (Vol: 100, Price: 23.0, Side: Sell) skipped due to Cannot sell IVL as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:26.439343 | [ERROR] Order for OR (Vol: 100, Price: 13.9, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:29.252107 | [ERROR] Order for GPSC (Vol: 100, Price: 39.75, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:30.101261 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.75, Side: Sell) skipped due to Cannot sell HMPRO as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:30.132963 | [ERROR] Order for WHA (Vol: 100, Price: 3.76, Side: Sell) skipped due to Cannot sell WHA as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:30.145596 | [ERROR] Order for KBANK (Vol: 100, Price: 163.5, Side: Sell) skipped due to Cannot sell KBANK as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:32.876952 | [ERROR] Order for OSP (Vol: 100, Price: 18.9, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:37.620683 | [ERROR] Order for CCET (Vol: 100, Price: 6.1, Side: Sell) skipped due to Cannot sell CCET as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:37.673023 | [ERROR] Order for DELTA (Vol: 100, Price: 163.5, Side: Sell) skipped due to Cannot sell DELTA as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:39.300795 | [ERROR] Order for CBG (Vol: 100, Price: 55.75, Side: Sell) skipped due to Cannot sell CBG as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:43.411531 | [ERROR] Order for CRC (Vol: 100, Price: 22.9, Side: Sell) skipped due to Cannot sell CRC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:46.270818 | [ERROR] Order for LH (Vol: 100, Price: 4.42, Side: Sell) skipped due to Cannot sell LH as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:47.751272 | [ERROR] Order for BH (Vol: 100, Price: 182.0, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:54.494610 | [ERROR] Order for KTC (Vol: 100, Price: 30.25, Side: Sell) skipped due to Cannot sell KTC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:55.648432 | [ERROR] Order for GULF (Vol: 100, Price: 45.5, Side: Sell) skipped due to Cannot sell GULF as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:55.744663 | [ERROR] Order for OSP (Vol: 100, Price: 18.7, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:59.020271 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.8, Side: Sell) skipped due to Cannot sell HMPRO as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:02.231196 | [ERROR] Order for GPSC (Vol: 100, Price: 39.0, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:02.384248 | [ERROR] Order for BDMS (Vol: 100, Price: 21.0, Side: Sell) skipped due to Cannot sell BDMS as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:05.952512 | [ERROR] Order for LH (Vol: 100, Price: 4.4, Side: Sell) skipped due to Cannot sell LH as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:05.954325 | [ERROR] Order for AOT (Vol: 100, Price: 39.25, Side: Sell) skipped due to Cannot sell AOT as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:06.647855 | [ERROR] Order for BCP (Vol: 100, Price: 31.75, Side: Sell) skipped due to Cannot sell BCP as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:14.507545 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.5, Side: Sell) skipped due to Cannot sell TIDLOR as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:16.006576 | [ERROR] Order for TCAP (Vol: 100, Price: 51.0, Side: Sell) skipped due to Cannot sell TCAP as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:19.641956 | [ERROR] Order for CPN (Vol: 100, Price: 57.25, Side: Sell) skipped due to Cannot sell CPN as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:20.538309 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.85, Side: Sell) skipped due to Cannot sell HMPRO as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:22.964165 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.6, Side: Sell) skipped due to Cannot sell TIDLOR as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:34.240762 | [ERROR] Order for BANPU (Vol: 100, Price: 4.94, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:34.947618 | [ERROR] Order for GPSC (Vol: 100, Price: 40.0, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:49.957804 | [ERROR] Order for MINT (Vol: 100, Price: 24.3, Side: Sell) skipped due to Cannot sell MINT as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:57.423199 | [ERROR] Order for CRC (Vol: 100, Price: 22.7, Side: Sell) skipped due to Cannot sell CRC as it is not in the portfolio or insufficient volume.
2025-11-08 23:35:59.599324 | [ERROR] Order for TTB (Vol: 100, Price: 1.88, Side: Sell) skipped due to Cannot sell TTB as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:06.233266 | [ERROR] Order for OR (Vol: 100, Price: 13.7, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:10.024105 | [ERROR] Order for MINT (Vol: 100, Price: 24.1, Side: Sell) skipped due to Cannot sell MINT as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:10.072237 | [ERROR] Order for CPF (Vol: 100, Price: 23.2, Side: Sell) skipped due to Cannot sell CPF as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:11.296054 | [ERROR] Order for LH (Vol: 100, Price: 4.46, Side: Sell) skipped due to Cannot sell LH as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:12.834101 | [ERROR] Order for OR (Vol: 100, Price: 13.8, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:23.886825 | [ERROR] Order for BDMS (Vol: 100, Price: 21.1, Side: Sell) skipped due to Cannot sell BDMS as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:27.813793 | [ERROR] Order for VGI (Vol: 100, Price: 1.91, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:28.964585 | [ERROR] Order for CCET (Vol: 100, Price: 6.15, Side: Sell) skipped due to Cannot sell CCET as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:40.235525 | [ERROR] Order for WHA (Vol: 100, Price: 3.74, Side: Sell) skipped due to Cannot sell WHA as it is not in the portfolio or insufficient volume.
2025-11-08 23:36:42.185449 | [ERROR] Order for BH (Vol: 100, Price: 185.0, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:37:04.101265 | [ERROR] Order for BH (Vol: 100, Price: 184.0, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:37:31.321528 | [ERROR] Order for BANPU (Vol: 100, Price: 4.92, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:37:33.944120 | [ERROR] Order for MINT (Vol: 100, Price: 24.0, Side: Sell) skipped due to Cannot sell MINT as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:16.264507 | [ERROR] Order for BCP (Vol: 100, Price: 31.5, Side: Sell) skipped due to Cannot sell BCP as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:18.648458 | [ERROR] Order for PTTEP (Vol: 100, Price: 115.5, Side: Sell) skipped due to Cannot sell PTTEP as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:19.676086 | [ERROR] Order for TRUE (Vol: 100, Price: 11.2, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-08 23:40:20.870004 | [ERROR] Order for GULF (Vol: 100, Price: 45.75, Side: Sell) skipped due to Cannot sell GULF as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:21.928927 | [ERROR] Order for CCET (Vol: 100, Price: 6.1, Side: Sell) skipped due to Cannot sell CCET as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:23.757579 | [ERROR] Order for OSP (Vol: 100, Price: 18.5, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:26.625428 | [ERROR] Order for CPN (Vol: 100, Price: 56.25, Side: Sell) skipped due to Cannot sell CPN as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:26.684086 | [ERROR] Order for MINT (Vol: 100, Price: 23.9, Side: Sell) skipped due to Cannot sell MINT as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:26.697494 | [ERROR] Order for VGI (Vol: 100, Price: 1.91, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:30.843191 | [ERROR] Order for COM7 (Vol: 100, Price: 25.25, Side: Sell) skipped due to Cannot sell COM7 as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:32.131085 | [ERROR] Order for BJC (Vol: 100, Price: 20.0, Side: Sell) skipped due to Cannot sell BJC as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:32.136869 | [ERROR] Order for PTT (Vol: 100, Price: 33.25, Side: Sell) skipped due to Cannot sell PTT as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:35.547895 | [ERROR] Order for TCAP (Vol: 100, Price: 50.75, Side: Sell) skipped due to Cannot sell TCAP as it is not in the portfolio or insufficient volume.
